county_fips,county_name,state,dma_code,dma_name
28097,Montgomery,MS,673,COLUMBUS-TUPELO-WEST POINT
28099,Neshoba,MS,711,MERIDIAN
28101,Newton,MS,711,MERIDIAN
28103,Noxubee,MS,673,COLUMBUS-TUPELO-WEST POINT
28105,Oktibbeha,MS,673,COLUMBUS-TUPELO-WEST POINT
28107,Panola,MS,640,MEMPHIS
28109,Pearl River,MS,622,NEW ORLEANS
28111,Perry,MS,710,HATTIESBURG-LAUREL
28113,Pike,MS,718,"JACKSON, MS"
28115,Pontotoc,MS,673,COLUMBUS-TUPELO-WEST POINT
28117,Prentiss,MS,673,COLUMBUS-TUPELO-WEST POINT
28119,Quitman,MS,640,MEMPHIS
28121,Rankin,MS,718,"JACKSON, MS"
28123,Scott,MS,718,"JACKSON, MS"
28125,Sharkey,MS,718,"JACKSON, MS"
28127,Simpson,MS,718,"JACKSON, MS"
28129,Smith,MS,718,"JACKSON, MS"
28131,Stone,MS,746,BILOXI-GULFPORT
28133,Sunflower,MS,647,GREENWOOD-GREENVILLE
28135,Tallahatchie,MS,647,GREENWOOD-GREENVILLE
28137,Tate,MS,640,MEMPHIS
28139,Tippah,MS,640,MEMPHIS
28141,Tishomingo,MS,673,COLUMBUS-TUPELO-WEST POINT
28143,Tunica,MS,640,MEMPHIS
28145,Union,MS,673,COLUMBUS-TUPELO-WEST POINT
28147,Walthall,MS,718,"JACKSON, MS"
28149,Warren,MS,718,"JACKSON, MS"
28151,Washington,MS,647,GREENWOOD-GREENVILLE
28153,Wayne,MS,710,HATTIESBURG-LAUREL
28155,Webster,MS,673,COLUMBUS-TUPELO-WEST POINT
28157,Wilkinson,MS,716,BATON ROUGE
28159,Winston,MS,673,COLUMBUS-TUPELO-WEST POINT
28161,Yalobusha,MS,673,COLUMBUS-TUPELO-WEST POINT
28163,Yazoo,MS,718,"JACKSON, MS"
29001,Adair,MO,631,OTTUMWA-KIRKSVILLE
29003,Andrew,MO,638,SAINT JOSEPH
29005,Atchison,MO,652,OMAHA
29007,Audrain,MO,604,COLUMBIA-JEFFERSON CITY
29009,Barry,MO,619,"SPRINGFIELD, MO"
29011,Barton,MO,603,JOPLIN-PITTSBURG
29013,Bates,MO,616,KANSAS CITY
29015,Benton,MO,619,"SPRINGFIELD, MO"
29017,Bollinger,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29019,Boone,MO,604,COLUMBIA-JEFFERSON CITY
29021,Buchanan,MO,638,SAINT JOSEPH
29023,Butler,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29025,Caldwell,MO,616,KANSAS CITY
29027,Callaway,MO,604,COLUMBIA-JEFFERSON CITY
29029,Camden,MO,619,"SPRINGFIELD, MO"
29031,Cape Girardeau,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29033,Carroll,MO,616,KANSAS CITY
29035,Carter,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29037,Cass,MO,616,KANSAS CITY
29039,Cedar,MO,619,"SPRINGFIELD, MO"
29041,Chariton,MO,604,COLUMBIA-JEFFERSON CITY
